instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
Ok,just one ahead of you,on the way now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long
Dispatcher: just one ahead of you 
 User: Ok
Dispatcher:","[['How long', 'just one ahead of you']]",,SafeRide&SafeWalk,3,,,
Sounds good,Is there anything else I can help you with?,"Hi, [GPE]. The driver is on the way to you right now so you can begin to head out!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Drop off at [ORG] handicap lot
Dispatcher: The wait time will be about ## minutes right now. Is that okay? 
 User: Yes
Dispatcher: Great. We'll let you know when the driver is on the way to pick you up. 
 User: Sounds good
Dispatcher:","[['Drop off at [ORG] handicap lot', 'The wait time will be about ## minutes right now. Is that okay?'], ['Yes', ""Great. We'll let you know when the driver is on the way to pick you up.""]]",,SafeRide&SafeWalk,7,99.0,99.0,99.0
Please cancel,Thank you for calling the police department. How can I help you?,Will do. Sorry about the wait time.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Please cancel
Dispatcher:",[],,SafeRide&SafeWalk,6,,,
Perfect thank you,you are welcome,Our driver is on the way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Where will we meet the car
Dispatcher: on forest by the bus stops 
 User: Perfect thank you
Dispatcher:","[['Where will we meet the car', 'on forest by the bus stops']]",,SafeRide&SafeWalk,7,99.0,,99.0
Hello,Hello. How can I help you?,hello,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hello
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,
Hi,Hello. How can I help you?,hi,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,99.0
Hi,"Hello, how can I help you?",I need the correct address of where you are to be picked up from because what is showing is out of range for the [ORG].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,,99.0
How long is the wait,The wait is 10 minutes.,a driver will be arriving shortly',"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long is the wait
Dispatcher:",[],,SafeRide&SafeWalk,10,,99.0,
Hi,Hello. How can I help you?,"Hi, couple ahead of you , about ## minutes","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,99.0
Hi,"Hi, this is the dispatcher. How can I help you?",address of your destination?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,
How many left??,How many left??,you are next,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How many left??
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,99.0
How long,20 minutes,## minutes,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
We’d like to cancel.,What?,ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: We’d like to cancel.
Dispatcher:",[],,SafeRide&SafeWalk,3,99.0,,99.0
Sorry one,"Hello, this is the dispatcher.",Where did you want to get picked up and dropped off?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Sorry one
Dispatcher:",[],,SafeRide&SafeWalk,3,,,99.0
Picked up at [PERSON] and dropped off at barret,"Ok, where are you now?",okay we can have a driver there in about ##-## min,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Me
Dispatcher: Where did you want to be picked up and dropped off? 
 User: Picked up at [PERSON] and dropped off at barret
Dispatcher:","[['Me', 'Where did you want to be picked up and dropped off?']]",,SafeRide&SafeWalk,5,,,
Drop off at vista del sol back parking lot,What is the nature of your call?,"Okay, we will let you know when our driver arrives. It should be about ##-## minutes","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Drop off at vista del sol back parking lot
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
Okay,you can't go that way,van is outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hello! Can I get a ride to [ORG]?
Dispatcher: yes but one ahead of you 
 User: Okay
Dispatcher: on the way now 
 User: Okay
Dispatcher:","[['Hello! Can I get a ride to [ORG] ?', 'yes but one ahead of you'], ['Okay', 'on the way now']]",,SafeRide&SafeWalk,5,,99.0,
how much longer?,about 10 minutes.,The driver is on the way to you right now actually! You can begin to head out now. They should be there in #-# minutes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: how much longer?
Dispatcher:",[],,SafeRide&SafeWalk,7,,99.0,99.0
How many ahead of me?,You are the 15th caller.,Less than # minutes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How many ahead of me?
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,99.0
### E Apache Blvd,### E Apache Blvd,"Okay, our driver will be arriving at the vista dome in about # minutes if you would like to head out","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ### E Apache Blvd
Dispatcher:",[],,SafeRide&SafeWalk,5,,99.0,99.0
We were waiting on #th st,"Ok, where are you now?",ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: We were waiting on #th st
Dispatcher:",[],,SafeRide&SafeWalk,5,,,
I keep missing the shuttle,"Hi, this is dispatcher 225. How can I help you?",There is no tracker on the van being used tonight. I can get in contact with the [PERSON] for you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I keep missing the shuttle
Dispatcher:",[],,SafeRide&SafeWalk,7,99.0,,99.0
Is the driver here?,"yes, he is here",yes,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Drop off at [ORG] handicap parking lot
Dispatcher: okay 
 User: [ORG]?
Dispatcher: driver is headed your way now 
 User: Is the driver here?
Dispatcher:","[['Drop off at [ORG] handicap parking lot', 'okay'], ['[ORG]?', 'driver is headed your way now']]",,SafeRide&SafeWalk,7,,,96.74
Never Mind then! I will call my roommate. Thank you,you're welcome,do you want to wait?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I put the court house because I am in the power room
Dispatcher: ok several ahead of you, might be ## -## minutes 
 User: Never Mind then! I will call my roommate. Thank you
Dispatcher:","[['I put the court house because I am in the power room', 'ok several ahead of you , might be ## -## minutes']]",,SafeRide&SafeWalk,3,99.0,99.0,99.0
"Cool, thank you","Sure, no problem.",the driver is there,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Cool, thank you
Dispatcher:",[],,SafeRide&SafeWalk,7,99.0,99.0,99.0
where u at,I'm at the station,they should be just about to you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: where u at
Dispatcher:",[],,SafeRide&SafeWalk,5,,99.0,99.0
Re u here yet?,Yes.,"no, but on the way now. please be watching","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Re u here yet?
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
how long?,2 minutes,## min,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: how long?
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,
How long now?,20 min,you are next in line,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Also I forgot to change pick up it’s ### sass
Dispatcher: couple ahead of you 
 User: How long now?
Dispatcher:","[['Also I forgot to change pick up it’s ### sass', 'couple ahead of you']]",,SafeRide&SafeWalk,3,,,99.0
I will be outside of it,Please wait a moment while I look up your address,Please contact us upon arrive. We do not set up walking escorts in advance. Thank you.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I will be outside of it
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
Thanks,##- ##,"you are next in line, won't be long","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long
Dispatcher: ##- ## 
 User: Thanks
Dispatcher:","[['How long', '##- ##']]",,SafeRide&SafeWalk,3,99.0,,
The address is ### myrtle,The address is ### myrtle,ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: The address is ### myrtle
Dispatcher:",[],,SafeRide&SafeWalk,3,,1.0,
Alright... do you think I’ll make it to work for #?,### 10:15,probably but will be close,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ### Myrtle St
Dispatcher: couple ahead of you, but shouldn't be long 
 User: Alright... do you think I’ll make it to work for #?
Dispatcher:","[['### Myrtle St', ""couple ahead of you, but shouldn't be long""]]",,SafeRide&SafeWalk,3,,81.12,
How many people are ahead of me?,There are 20 people ahead of you.,"none, will just be a few minutes","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How many people are ahead of me?
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,
How many,10,just #,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hello
Dispatcher: couple ahead of you 
 User: How many
Dispatcher:","[['Hello', 'couple ahead of you']]",,SafeRide&SafeWalk,3,,,
Hloo,Hloo,"Hi, on the way for you now","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hloo
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
I mean on that road,"Yes, I understand",ok but are you on the rec side or the north side of the street,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I mean on that road
Dispatcher:",[],,SafeRide&SafeWalk,6,,99.0,99.0
How many rides are ahead of me?,You are in the 23rd position.,be there in a few minutes,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How many rides are ahead of me?
Dispatcher:",[],,SafeRide&SafeWalk,2,,99.0,
Hello,"Hello, how can I help you?",one ride ahead of you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hello
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,,
Which key?,The key to your house,,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: At West hall
Dispatcher: one ahead of you 
 User: Ok
Dispatcher: on the way now, please be watching for van to arrive 
 User: Ok sure
Dispatcher: Did you leave your key in the van? 
 User: Which key?
Dispatcher:","[['At West hall', 'one ahead of you'], ['Ok', 'on the way now, please be watching for van to arrive'], ['Ok sure', 'Did you leave your key in the van?']]",,SafeRide&SafeWalk,7,,,99.0
Are you near?,"Yes, I am.",no stuck on the previous ride should just be another #-## minutes,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Are you near?
Dispatcher:",[],,SafeRide&SafeWalk,7,,,
How much more time ?,5 minutes,#-## min maybe,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher: couple ahead of you 
 User: Ok I'll wait
Dispatcher: ok 
 User: How much more time?
Dispatcher:","[['Hi', 'couple ahead of you'], [""Ok I'll wait"", 'ok']]",,SafeRide&SafeWalk,5,,,
Hi,Hi. How can I help you?,several ahead of you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,
I m waiting on #th st now,What is the problem?,Thank you for that information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I m waiting on #th st now
Dispatcher:",[],,SafeRide&SafeWalk,10,,55.18,
My bad,"Hi, this is the police. How can I help you?",The [ORG] is outside.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: My bad
Dispatcher:",[],,SafeRide&SafeWalk,6,1.0,,
How long,How long,"you are next, van should be there shortly","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
Thank u!,You're welcome.,"Express is on the way, please be watching for it to arrive.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Can you txt when we are next
Dispatcher: will try 
 User: Thank u!
Dispatcher:","[['Can you txt when we are next', 'will try']]",,SafeRide&SafeWalk,5,99.0,99.0,99.0
Okay,Do you need any other information?,van is outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User:??
Dispatcher: yes, but # ahead of you 
 User: We will wait!!
Dispatcher: ok 
 User: Thank you!!
Dispatcher: Express is on the way, please be watching for it to arrive. 
 User: Okay
Dispatcher:","[['??', 'yes, but # ahead of you'], ['We will wait !!', 'ok'], ['Thank you !!', 'Express is on the way, please be watching for it to arrive.']]",,SafeRide&SafeWalk,11,,99.0,
I[ORG] in complex D,I[ORG] in complex D,Thank you for using [PERSON]. We will have someone there shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I[ORG] in complex D
Dispatcher:",[],,SafeRide&SafeWalk,1,,,99.0
Thank you,You're welcome,"Thank you. As mentioned on the phone, I will advise you when the driver is on site. She will be in a White Hyundai Suv","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you
Dispatcher:",[],,SafeRide&SafeWalk,12,99.0,,99.0
What time?,11:00 PM,We are glad to help. What is your exact location? An address is preferred but a building name is also helpful.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: What time?
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
I am atcronkite school and i want to walk to my home at roosvelt point.,"OK, please tell me where you are now.",Where can the Police Aide meet you at [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am atcronkite school and i want to walk to my home at roosvelt point.
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,
Hi,Hello.,Please contact the office at ###-###-####,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hi
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,
Don’t,Don’t,He is in the san pablo lot,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Don’t
Dispatcher:",[],,SafeRide&SafeWalk,9,,,
Thank you!,You're welcome!,your driver is outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: TOOKER JESUS
Dispatcher: of course 
 User: Thank you!
Dispatcher:","[['TOOKER JESUS', 'of course']]",,SafeRide&SafeWalk,7,99.0,,99.0
You can cancel my ride. I called a [PERSON]. Gotta be there at #pm. Thanks anyways!,"Ok, I’ll cancel it.","Ok, have a good night!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I don’t need to be picked up until #:##pm
Dispatcher: Ok sounds good. And where do you want to be picked up at and dropped off at? 
 User: Can I be picked up at the Ahi Poke parking lot next to [ORG] and dropped off at [ORG] [PERSON] on [GPE]?
Dispatcher: Yup 
 User: Hi are you almost here??
Dispatcher: It should be about # - ## minutes. sorry about the wait, there are a lot of calls tonight 
 User: You can cancel my ride. I called a [PERSON]. Gotta be there at #pm. Thanks anyways!
Dispatcher:","[['I don’t need to be picked up until #:##pm', 'Ok sounds good. And where do you want to be picked up at and dropped off at?'], ['Can I be picked up at the Ahi Poke parking lot next to [ORG] and dropped off at [ORG] [PERSON] on [GPE]?', 'Yup'], ['Hi are you almost here??', 'It should be about # - ## minutes. sorry about the wait, there are a lot of calls tonight']]",,SafeRide&SafeWalk,9,96.74,,
Is the driver still coming?,"Yes, he's still coming.","Yes, he will be there shortly, we have been getting a lot of calls tonight that has caused us to become a little backed up","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is the driver still coming?
Dispatcher:",[],,SafeRide&SafeWalk,5,,,
Ok thank you!,"No problem, just be patient and wait for our driver to come and pick you up.",Your driver has just arrived,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Drop off at [ORG] handicap lot
Dispatcher: Okay, our driver will be there in the next ## minutes 
 User: Ok thank you!
Dispatcher:","[['Drop off at [ORG] handicap lot', 'Okay, our driver will be there in the next ## minutes']]",,SafeRide&SafeWalk,6,99.0,,99.0
please,please!,we have you in our system and are next on the list,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: please
Dispatcher:",[],,SafeRide&SafeWalk,5,,,
I want to go for my gannon on campus apartment as it is very cool,"Ok, you can go for it.",I'm sorry LiveSafe will not be available for transporting until Sunday January ##th.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I want to go for my gannon on campus apartment as it is very cool
Dispatcher:",[],,SafeRide&SafeWalk,1,97.84,,
"[PERSON] ######### ### ### #### ### Peachtree [ACRONYM] [ACRONYM], #####","[PERSON] ######### ### ### #### ### Peachtree [ACRONYM] [ACRONYM], #####",Saferide is on the way. Have a good night,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [PERSON] ######### ### ### #### ### Peachtree [ACRONYM] [ACRONYM], #####
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
Thank you!,You are welcome.,"Hi, our driver will be arriving at the union shortly if you would like to make your way out","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Not until ##:##, sorry
Dispatcher: Thank you for requesting a Safety Escort! Please stay alert to our LiveSafe chats for the duration of your wait time. How many people will be in your party tonight? 
 User: Just me.
Dispatcher: Okay, we will have someone with you as close to ##:## as possible. You are at the union, correct? 
 User: I[PERSON] at the new [ORG] right under the union.
Dispatcher: Okay, sounds good. We will let you know when the driver arrives. 
 User: Thank you!
Dispatcher:","[['Not until ##:##, sorry', 'Thank you for requesting a Safety Escort! Please stay alert to our LiveSafe chats for the duration of your wait time. How many people will be in your party tonight?'], ['Just me.', 'Okay, we will have someone with you as close to ##:## as possible. You are at the union, correct?'], ['I[PERSON] at the new [ORG] right under the union.', 'Okay, sounds good. We will let you know when the driver arrives.']]",,SafeRide&SafeWalk,7,99.0,,
Thank you,You're welcome,"Of course, sorry about that we hope you still use this service","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you
Dispatcher:",[],,SafeRide&SafeWalk,5,99.0,,98.65
They said they changed it,What?,What changed is the the drop off locations. SAFERide now transports to open buildings and [PERSON] when the busses stop running instead of the LateNight Shuttles. For a complete update on the new [ORG] policy please contact the office at ###-###-#### so we can assist you further.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: They said they changed it
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
yes we’re all good here,"ok, I’m going to ask you a few questions to get a better idea of what’s going on.",Have a safe rest of your night,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yes we’re all good here
Dispatcher:",[],,SafeRide&SafeWalk,11,99.0,,
One person,One person,An officer will be there to assist you as soon as possible.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: One person
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
That’s okay I’ll walk over,I’m sorry to hear that. I’m going to need you to stay put and wait for the police to arrive.,Ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: That’s okay I’ll walk over
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
How long?,"I'm sorry, I can't understand you.",# ahead of you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: How long?
Dispatcher:",[],,SafeRide&SafeWalk,1,,,
ok thank u,ok.,"Express is on the way, please be watching for it to arrive.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: how long?
Dispatcher: just a few minutes 
 User: ok thank u
Dispatcher:","[['how long?', 'just a few minutes']]",,SafeRide&SafeWalk,3,99.0,,99.0
Drop off at vista back parking lot,"OK, I understand you are reporting a safety concern. Is this a public safety concern?","ok perfect, a driver is droppin of there so if you head outside in a couple minutes we will be there","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Drop off at vista back parking lot
Dispatcher:",[],,SafeRide&SafeWalk,3,,,
